date,open,high,low,close,price_change_pct,volume,turnover,year,eps,pe-ratio,roe,dividend
2022-11-27,695.0,700.0,685.2,699.0,1.3,33586.0,23326120.4,2022,39.13,18.1,19.54,0.0
2022-11-28,700.0,705.8,686.5,689.0,-1.43,52802.0,36603806.7,2022,39.13,18.1,19.54,0.0
2022-11-29,680.0,694.0,678.0,688.2,-0.12,24057.0,16536991.1,2022,39.13,18.1,19.54,0.0
2022-11-30,684.0,699.0,684.0,697.0,1.28,24065.0,16724531.8,2022,39.13,18.1,19.54,0.0
2022-12-01,695.0,723.0,693.1,711.5,2.08,57322.0,40652219.1,2022,39.13,18.1,19.54,0.0
2022-12-04,711.5,720.0,710.0,712.9,0.2,46294.0,33160505.5,2022,39.13,18.1,19.54,0.0
2022-12-05,712.0,712.0,697.8,698.0,-2.09,35135.0,24771426.2,2022,39.13,18.1,19.54,0.0
2022-12-06,700.0,705.0,692.0,693.0,-0.72,50730.0,35345246.9,2022,39.13,18.1,19.54,0.0
2022-12-07,686.0,699.0,686.0,688.3,-0.68,36633.0,25243646.5,2022,39.13,18.1,19.54,0.0
2022-12-11,675.0,685.0,670.1,670.1,-2.64,57943.0,39248832.9,2022,39.13,18.1,19.54,0.0
2022-12-12,666.0,679.9,660.0,679.0,1.33,61536.0,41279677.3,2022,39.13,18.1,19.54,0.0
2022-12-13,679.0,688.0,674.0,676.3,-0.4,26409.0,17928323.4,2022,39.13,18.1,19.54,0.0
2022-12-14,672.0,717.0,672.0,675.1,-0.18,16910.0,11514877.6,2022,39.13,18.1,19.54,0.0
2022-12-15,672.0,678.9,670.1,672.0,-0.46,15343.0,10340985.7,2022,39.13,18.1,19.54,0.0
2022-12-18,665.0,670.0,661.1,665.0,-1.04,25597.0,16977284.8,2022,39.13,18.1,19.54,0.0
2022-12-19,665.0,670.0,661.3,665.2,0.03,11080.0,7382941.0,2022,39.13,18.1,19.54,0.0
2022-12-20,667.0,680.0,666.0,673.0,1.17,14011.0,9456005.9,2022,39.13,18.1,19.54,0.0
2022-12-21,660.0,682.0,660.0,667.3,-0.85,175719.0,118246001.1,2022,39.13,18.1,19.54,0.0
2022-12-22,654.0,666.0,654.0,665.2,-0.31,86046.0,56965324.5,2022,39.13,18.1,19.54,0.0
2022-12-26,673.0,695.0,670.2,694.0,4.33,100520.0,68723509.4,2022,39.13,18.1,19.54,0.0
2022-12-27,700.0,710.0,696.0,700.1,0.88,143766.0,101220431.0,2022,39.13,18.1,19.54,0.0
2022-12-28,702.0,706.0,689.0,689.0,-1.59,79579.0,55485563.9,2022,39.13,18.1,19.54,0.0
2022-12-29,702.0,726.0,689.0,722.2,4.82,135700.0,96658165.2,2022,39.13,18.1,19.54,0.0
2023-01-01,727.0,750.0,723.0,738.0,2.19,136249.0,100383387.4,2023,39.65,19.8,17.58,30.53
2023-01-02,738.0,772.8,725.0,765.0,3.66,146722.0,111455088.3,2023,39.65,19.8,17.58,30.53
2023-01-03,775.0,775.0,755.0,767.9,0.38,125746.0,96695094.8,2023,39.65,19.8,17.58,30.53
2023-01-04,760.0,797.0,760.0,784.0,2.1,100499.0,77942870.9,2023,39.65,19.8,17.58,30.53
2023-01-05,799.6,805.0,778.0,790.0,0.77,150073.0,118444306.0,2023,39.65,19.8,17.58,30.53
2023-01-08,789.0,803.0,784.0,790.1,0.01,100573.0,80126145.2,2023,39.65,19.8,17.58,30.53
2023-01-09,790.0,821.0,781.0,804.0,1.76,208228.0,167866818.1,2023,39.65,19.8,17.58,30.53
2023-01-10,811.0,835.0,796.0,805.0,0.12,205989.0,167243233.8,2023,39.65,19.8,17.58,30.53
2023-01-12,821.1,828.0,801.1,803.0,-0.25,157664.0,127827710.0,2023,39.65,19.8,17.58,30.53
2023-01-17,819.0,820.0,796.1,816.3,1.66,99350.0,80485774.6,2023,39.65,19.8,17.58,30.53
2023-01-18,820.0,825.0,804.0,811.0,-0.65,94624.0,77149905.9,2023,39.65,19.8,17.58,30.53
2023-01-19,811.0,850.0,804.1,845.0,4.19,216337.0,180444653.5,2023,39.65,19.8,17.58,30.53
2023-01-23,861.9,861.9,831.0,835.0,-1.18,151120.0,127577972.5,2023,39.65,19.8,17.58,30.53
2023-01-24,849.5,850.0,825.1,832.0,-0.36,90781.0,75309260.2,2023,39.65,19.8,17.58,30.53
2023-01-25,844.9,844.9,823.0,825.0,-0.84,72897.0,60387897.7,2023,39.65,19.8,17.58,30.53
2023-01-26,832.0,833.5,818.0,824.0,-0.12,76729.0,63437273.0,2023,39.65,19.8,17.58,30.53
2023-01-29,823.0,833.6,820.0,826.0,0.24,86314.0,71318301.1,2023,39.65,19.8,17.58,30.53
2023-01-30,820.0,830.0,810.5,811.9,-1.71,92484.0,75752768.3,2023,39.65,19.8,17.58,30.53
2023-01-31,815.0,820.0,803.6,808.5,-0.42,87591.0,71083403.6,2023,39.65,19.8,17.58,30.53
2023-02-01,802.0,823.0,802.0,815.1,0.82,58462.0,47607453.9,2023,39.65,19.8,17.58,30.53
2023-02-02,815.1,825.0,802.0,810.4,-0.58,67366.0,55040183.5,2023,39.65,19.8,17.58,30.53
2023-02-05,811.0,825.0,811.0,817.0,0.81,71506.0,58516096.4,2023,39.65,19.8,17.58,30.53
